version,flow_code,region_code,unit_reference,value,unit_emission,metric
v2.1.6,C_ALU_sort,PL,Meuro,-308182.5400244102,tonnes CO2eq,GWP100
v2.1.6,C_ALU_sort,PT,Meuro,-268673.7899373427,tonnes CO2eq,GWP100
v2.1.6,C_ALU_sort,RO,Meuro,-47258.8532749088,tonnes CO2eq,GWP100
v2.1.6,C_ALU_sort,RU,Meuro,-370181.2954265165,tonnes CO2eq,GWP100
v2.1.6,C_ALU_sort,SE,Meuro,-260271.6493715521,tonnes CO2eq,GWP100
v2.1.6,C_ALU_sort,SI,Meuro,-82480.0554856901,tonnes CO2eq,GWP100
v2.1.6,C_ALU_sort,SK,Meuro,-280795.9573371593,tonnes CO2eq,GWP100
v2.1.6,C_ALU_sort,TR,Meuro,-313212.4342358451,tonnes CO2eq,GWP100
v2.1.6,C_ALU_sort,US,Meuro,-352330.3129680293,tonnes CO2eq,GWP100
v2.1.6,C_ALU_sort,WA,Meuro,-415528.0368815811,tonnes CO2eq,GWP100
v2.1.6,C_ALU_sort,WE,Meuro,-168487.9796425329,tonnes CO2eq,GWP100
v2.1.6,C_ALU_sort,WF,Meuro,-98122.5709723505,tonnes CO2eq,GWP100
v2.1.6,C_ALU_sort,WL,Meuro,-369935.9806282064,tonnes CO2eq,GWP100
v2.1.6,C_ALU_sort,WM,Meuro,-305549.6663988436,tonnes CO2eq,GWP100
v2.1.6,C_ALU_sort,ZA,Meuro,-313653.5181942996,tonnes CO2eq,GWP100
v2.1.6,C_AL_INCI,AT,Meuro,50.5234873046,tonnes CO2eq,GWP100
v2.1.6,C_AL_INCI,AU,Meuro,176.8211557534,tonnes CO2eq,GWP100
v2.1.6,C_AL_INCI,BG,Meuro,72.3292252829,tonnes CO2eq,GWP100
v2.1.6,C_AL_INCI,BR,Meuro,92.2380503907,tonnes CO2eq,GWP100
v2.1.6,C_AL_INCI,CA,Meuro,47.3102900125,tonnes CO2eq,GWP100
v2.1.6,C_AL_INCI,CH,Meuro,159.3189771881,tonnes CO2eq,GWP100
v2.1.6,C_AL_INCI,CN,Meuro,945.3188566001,tonnes CO2eq,GWP100
v2.1.6,C_AL_INCI,CY,Meuro,101.6167650238,tonnes CO2eq,GWP100
v2.1.6,C_AL_INCI,CZ,Meuro,140.0249948279,tonnes CO2eq,GWP100
v2.1.6,C_AL_INCI,DE,Meuro,172.107572329,tonnes CO2eq,GWP100
v2.1.6,C_AL_INCI,DK,Meuro,191.0680863389,tonnes CO2eq,GWP100
v2.1.6,C_AL_INCI,ES,Meuro,213.5302609869,tonnes CO2eq,GWP100
v2.1.6,C_AL_INCI,FI,Meuro,50.0294139676,tonnes CO2eq,GWP100
v2.1.6,C_AL_INCI,FR,Meuro,187.5323874062,tonnes CO2eq,GWP100
v2.1.6,C_AL_INCI,GB,Meuro,307.8615365554,tonnes CO2eq,GWP100
v2.1.6,C_AL_INCI,GR,Meuro,158.866538942,tonnes CO2eq,GWP100
v2.1.6,C_AL_INCI,HR,Meuro,189.8218236475,tonnes CO2eq,GWP100
v2.1.6,C_AL_INCI,HU,Meuro,134.9099030939,tonnes CO2eq,GWP100
v2.1.6,C_AL_INCI,ID,Meuro,58.3496997838,tonnes CO2eq,GWP100
v2.1.6,C_AL_INCI,IE,Meuro,181.9957292648,tonnes CO2eq,GWP100
v2.1.6,C_AL_INCI,IN,Meuro,201.2599411997,tonnes CO2eq,GWP100
v2.1.6,C_AL_INCI,IT,Meuro,237.8477537393,tonnes CO2eq,GWP100
v2.1.6,C_AL_INCI,LU,Meuro,152.5279336637,tonnes CO2eq,GWP100
v2.1.6,C_AL_INCI,MX,Meuro,131.8980425748,tonnes CO2eq,GWP100
v2.1.6,C_AL_INCI,NL,Meuro,89.7846753163,tonnes CO2eq,GWP100
v2.1.6,C_AL_INCI,NO,Meuro,196.4701860598,tonnes CO2eq,GWP100
v2.1.6,C_AL_INCI,PL,Meuro,181.2147604806,tonnes CO2eq,GWP100
v2.1.6,C_AL_INCI,PT,Meuro,228.178524025,tonnes CO2eq,GWP100
v2.1.6,C_AL_INCI,RO,Meuro,64.8440263184,tonnes CO2eq,GWP100
v2.1.6,C_AL_INCI,RU,Meuro,239.6347261816,tonnes CO2eq,GWP100
v2.1.6,C_AL_INCI,SE,Meuro,89.6279773045,tonnes CO2eq,GWP100
v2.1.6,C_AL_INCI,SI,Meuro,260.264679516,tonnes CO2eq,GWP100
v2.1.6,C_AL_INCI,SK,Meuro,89.5981767574,tonnes CO2eq,GWP100
v2.1.6,C_AL_INCI,TR,Meuro,86.3332793591,tonnes CO2eq,GWP100
v2.1.6,C_AL_INCI,US,Meuro,86.8251719049,tonnes CO2eq,GWP100
v2.1.6,C_AL_INCI,WA,Meuro,160.5525564835,tonnes CO2eq,GWP100
v2.1.6,C_AL_INCI,WE,Meuro,250.9912479206,tonnes CO2eq,GWP100
v2.1.6,C_AL_INCI,WF,Meuro,60.2597167346,tonnes CO2eq,GWP100
v2.1.6,C_AL_INCI,WL,Meuro,84.2359209997,tonnes CO2eq,GWP100
v2.1.6,C_AL_INCI,WM,Meuro,203.430995307,tonnes CO2eq,GWP100
v2.1.6,C_AL_INCI,ZA,Meuro,62.3391405956,tonnes CO2eq,GWP100
v2.1.6,C_AL_LAND,AT,Meuro,232.1023674454,tonnes CO2eq,GWP100
v2.1.6,C_AL_LAND,BG,Meuro,75.4156185355,tonnes CO2eq,GWP100
v2.1.6,C_AL_LAND,CA,Meuro,98.1621653547,tonnes CO2eq,GWP100
v2.1.6,C_AL_LAND,CH,Meuro,292.7698950721,tonnes CO2eq,GWP100
v2.1.6,C_AL_LAND,CN,Meuro,11680.5630847612,tonnes CO2eq,GWP100
